about;name;Organisation_oGRN;Organisation_ChildOrganisations;Organisation_Roles
bca3c41f70e44c7fb9521496974ccf2f;ПАО «Салют»;1026300840983;;
6328efd301d44f86996bffe7e89304dd;АО «ЛОЭСК»;1044700565172;;
01a8ee873df64fbd9f28603bbe310da7;Филиал АО «Энерго-Газ-Ноябрьск» в г. Салехарде;1048900553206;;
69b78fded5e741dda970c7aa5b6f3f81;ООО «ПАРМА»;;;
f3eeca201fd34bb8bf29932de30a74e5;АО «Инфраструктурные проекты»;1221500003812;;
33ea9c9c42ba443bbfdf215c0cb57dba;НПФ «МОДЕМ»;;;
1ee711f571dc4f01b06c023ae2067a27;ЗАО «Тбилисский сахарный завод»;1022304719986;;
7b7b7a412f25472f913d53da305bde60;Филиал ПАО «Россети Ленэнерго» «Тихвинские электрические сети» ;1027809170300;;
bcd0b4fb83114d0fbe54210d06b29928;ОАО «Межрегионсбыт»;1047424512728;;
e5bd7614e13e4ad482f5a129cdc34796;АО «Стойленский ГОК»;1023102367750;;
e6ac79f3c28f4538b37da45e3809e468;ЭНЕРГОВОЛГА;;;
b73f5cea2d104dcbb089ec4a0644fa57;АО «СЭСК»;1085254000391;;
60e9638b4a8040f5a7d8d5d87df25aff;ООО «Частная Пивоварня «Афанасий»;1027700139015;;
dfe306915bf14dd88cb33234713ec214;ООО «УК Межегейуголь»;1094220004031;;
7c518f110d744fb4804bcc6a2821400b;ПАО «Калужский Турбинный Завод»;1024001337360;;
78eb0dcfe66e469db2948c03a4678880;АО «СМЗ»;1055800709910;;
203b42b69cca40aa9e1d99c8a41e19c5;ПАО «Сатурн»;1025500970516;;
640e484356c74db7a8a64fbaaca47600;АКЦИОНЕРНОЕ ОБЩЕСТВО «ХОЛДИНГ ЭРСО»;;;
4c660f7e740541d4bdaad6df05bd7cb0;Филиал АО «Россети Тюмень» Тюменские электрические сети;1028600587399;;
945eacf033e544609336fa33f9e5c390;Филиал АО «ЭН+ ГЕНЕРАЦИЯ» «Красноярская ГЭС»;5087746073817;;
c5fd08358d7d498e89e3b5682a49b2ef;ООО СК «Главэнергострой»;1227700790063;;
a7093908c78f4910a02e1e82dd3cd645;ТМ Энергозащита;;;
f8f0cff34cd54d2da1e3b62068122e1c;АО «Сахарный комбинат Большевик»;1033101001328;;
710ebcb164314ce9bb49718532e46b52;АО «ПО «ЭХЗ»;1082453000410;;
823571f1406a4868be2bcef5c92c28d6;ООО «ЭнергоСеть»;1043902835261;;
a8b9d1e138a4484283ed0434ca9953c9;ООО «ЕВРОХИМ - УКК»;1115911003230;;
483a46010d194d59a25c9e336a221d41;ФКУ ИК-21 ОУХД УФСИН России по Архангельской области;1022901466719;;
327b0e9326424eb2a9f973fec0602065;АО «Золото Селигдара»;1051400025930;;
9a43906c07cf48fd873c05c50cd3c439;АО «РКЦ «Прогресс»;1146312005344;;
be28284c26bb4ff29e569ba2a9d69844;ООО «Барнаул РТИ»;1042202074815;;
93c0df13fd904339ac2ab2e0ed2d8c38;ООО «Районные Электрические Сети»;1207800065197;;
77537d2f863748de877886489a69b64d;АО «СТЗ»;1026601606118;;
a352116f2feb4a70bd08a1c6f3ac379d;АО «Уральские электрические сети»;1069672069609;;
7b7f2b4db5cb4b8da87f26f42fc70ddc;ООО «ГЗОЦМ «Гайская медь»;1215600001968;;
2b338d4bad934722ad23b7c3845e3211;Костромская ТЭЦ-1;1024400004353;;
b3cef07a4b5b4d8a8576745ea181ac77;Филиал АО «РИР» в г. Озерске;1117746439480;;
adaca93a78564a798713e885e07ff7f2;РТРС;1027739456084;;
f4d21d6c48904ba990b2405adb6cad81;ООО «Ларта Гласс Раменское»;1025005116014;;
de62a9e936594b2a8f92aa656c0105a6;"АООТ ""КВАРТ""";;;
9fa0292df3f94dcfad5bfa0dde3483fd;ООО «Эркен-Шахарский сахарный завод»;1190917000229;;
18768de72d9a499ebd07b182bdfc6963;ОАО «Викор»;1022304418696;;
82ef854065ff41d8b7318a0aea5b3e3c;ООО «Проект-Девелопмент»;1136685023419;;
3be7542ff1864226ac631415c7570f22;АО «Самаранефтегаз»;1026300956990;;
0c4db102d2b44829b5cb5cdc1509f888;Филиал ПАО «Россети» Свердловское ПМЭС;1024701893336;;
8dbdd10b231a4c32aead18736eb4d0f3;ООО «Пивоваренная компания «Балтика»;1147847032838;;
901a109918964f0595742b7156f1e39e;Ленинградское районное управление ООО «Транснефть - Балтика»;1024700871711;;
cbe93e6ecc7a44318e29bde7c3e21309;"""МЭЗ"" им. В.В. Куйбышева";;;
38946ce15fac40e885f5b52de2df1c4a;Филиал ПАО «Россети» - Кубанское ПМЭС;1024701893336;;
2a744724dc2c42ed864b64bd7728dbec;"Великолуксский завод ""Реостат""";;;
a00b1f12d36c4216bf0680ab2332e98c;ООО «КанБайкал»;1148619002465;;
818efc43bd6c4f75a8a64442a21bbfcb;Филиал «ЮГРЭС-1» ООО «Каширская ГРЭС»;1215000109862;;
2843645d359446b8882b544427417801;Правительство Республики Ингушетия;1020600985932;;
18ff694f1a1e47919c189ccd9774584f;АО «Рубцовский Теплоэнергетический Комплекс»;1122224002317;;
40db1b7aa23c430f95f11d58283a3f03;Филиал «Аэронавигация Юга»;1027739057500;;
0fffff9430d04034a7b2d1fada7095e8;Архангельская дистанция электроснабжения;1037739877295;;
