about;name;OrganisationRole_Objects
d69eed2409644a2d8334ac8e58f8b5b6;Владение ООО «ЗЕФС-ЭНЕРГО»;
8ba884e7a94b4e149625af54076c137c;Владение МУП «Электросеть»;
4c6559d0a0614fc6ae14a4fb68b4a0f8;Владение АО «Уральская фольга»;
d46d6eff4816470893f0c3f15ca0d1df;Владение ООО «РНК»;
ea4ceee7549148b98a6b371d8397f9fd;Владение АО «Россети Тюмень»;
9aaa5b1ac6b446b6a488c48eb0392423;Владение ООО «АВИСМА»;
b4e875070e6843cf970f791697bcc87a;Владение ООО «БГК»;
617f9b08a8b5412d9287ac85836e8f70;Владение ПАО «Передвижная энергетика»;
3dc9d78852c64c4f9edacbf33a658fd9;Владение АО «Татэнерго»;
1de525506ee844659d734cb9a99580ee;Владение ООО «Рифей»;
6c58466262ab495dafbc289e6160cbcc;Владение ПАО «Россети Томск»;
8ba7c6cb4a2b4b7c85cf3e0f3e99529a;Владение АО ПО «АШК»;
26631dde3a43463eae325ec8c6df6d4b;Владение АО «ВАЗ»;
e48a289740204944a0f353d243448c77;Владение ПАО «Юнипро»;
c32b9e4fbd0140ac876cc230957747d4;Владение АО «ГНЦ НИИАР»;
0529e5dfd8f54a479c39df33248fe9e7;Владение НЭК «Укрэнерго»;
2c928f77d0954ff8a032b1af54cfa104;Владение ОАО «Северо-Кузбасская энергетическая компания»;
067e58339e1d4575a1c6f3120341f0ec;Владение ООО «ЭНЕРГОТРАНЗИТ»;
220d9b7e6e044b6fb0aeddea26cd990f;Владение АО «Кривец-сахар»;
79766c19b50647339bf6da068ecf43e7;Владение ООО «УК Кашира-Парк»;
fc26c6b8951a4cf6870c497312d50248;Владение АО «СУБР»;
dc2ab1caca5b4b48a9e23afbc9502ff7;Владение ООО «ННК-Самаранефтегаз»;
d47fced3c9d2431a8fa66f302a3a017a;Владение ООО «ДМЗ»;
740c1b36f2244e0f939d5c66f520e4dc;Владение ООО «Чувашская сетевая компания»;
9e4669e3cff148d4bb63c496fa8b17aa;Владение АО «СНХЗ»;
1d4d86ba0ac64abf80b114bd0e91cb65;Владение ПАО «НЛМК»;
460a1b82f5254a9c964013c5b2ef2110;Владение ООО «Северсетьразвитие»;
73578e5a025e4139af39720ae3c52063;Владение ПКГУП «КЭС»;
7cf022a2733447569c11eab74f409721;Владение Филиал ПАО «Россети Центр и Приволжье» - «Владимирэнерго»;
7b20b04023ef4edcb79bba1038d76ea6;Владение АО «Птицефабрика «Чамзинская»;
45b30b0a77fa4580b83098062d4720aa;Владение ООО «МЭК-ИНЖИНИРИНГ»;
11a5d7ac86634a219308db9cbede210a;Владение ООО «СГК»;
fb670a4357f7422b98d5a348ec99a6c3;Владение Филиал АО «СУЭК-Красноярск» «Разрез Березовский»;
d7362647d3f14af6ae688cb260401fd5;Владение ООО «Тольяттинский Трансформатор»;
dbc7a0c0540346eda9f4d94fd5f14330;Владение АО «Вологдаоблэнерго»;
3fe46ee0930a4f11974339aca292babb;Владение АО «ОЭК»;
109863248b084c84b353a9f351a0e8bb;Владение АО «Енисейская ТГК (ТГК-13)»;
ff0fd601662d487c8fc6a199f47c3aa1;Владение АО «Охинская ТЭЦ»;
2040818c05dc43b8a6cdc2c847b1af4c;Владение ООО «АктивЭнерго»;
b7c2c351d5f64f328c2658a6207aa244;Владение ООО «Барнаульская сетевая компания»;
56768fc561e64aff93fa143e74d0311b;Владение ООО «Электросеть-Смоленск»;
7f007f94dc6b4e829400be09f810f065;Владение АО «СТЗ»;
81f4154e95e94254b549c20e7313d6e5;Владение ФАУ «ЦИАМ им. П.И. Баранова»;
96b0b073f594445ba7005bad3ee3993d;Владение ООО «Импульс»;
8574937a392647c0a65372e62972e93a;Владение АО «Мурманская ТЭЦ»;
eb4942917e6e49a3865e9de5dc5d1486;Владение ООО «ЛУКОЙЛ-Волгограднефтепереработка»;
413ac602a7464731ba79fc52f8159fbb;Владение Филиала АО «Транснефть-Урал» Курганское нефтепроводное управление;
a303f39af52f43c683a5b84836c903b0;Владение МУП «ЯТЭК»;
41442abfeed4416d9d0867ce240f0a62;Владение ФГУП «Эндофарм»;
6c9b004d034549cea89399e228bd457c;Владение ООО «Лесозавод Судома»;
e6ce47f4aa5e4e89874f782382a86e74;Владение ООО «Электротеплосеть»;
882ffc600bb24908b7ced082d0ad0a07;Владение МУП Хорская ТЭЦ;
439686701cf7424ba311e57276b8f950;Владение АО «ННК-Хабаровский НПЗ»;
fabb0377753e4818a872f4849edd44ea;Владение АО «Вилюйская ГЭС-3»;
a4a3938ca5dd4b13a453ba3790b240b2;Владение АО «РУСАЛ Саяногорск»;
5f59de80421645f0a5485acd055af5d3;Владение АО «Россети Кубань»;
1010a13b04dc4d6fbf00432aee80fc73;Владение ООО «РК-Гранд»;
f0530cfb8f374a74986c4ae2d2dbf3d8;Владение ПАО «Т Плюс»;
e82274e1c9e44a2e9081c18f16dbafe6;Владение АО «ГГЭ»;
d8d22847fcf64dbf808c2af9a5b421e8;Владение МУП «Жилкомсервис» г. Сосновоборска;
e137bf2df926443a9addff449004bcec;Владение ООО «Самарская СЭС им. В.В. Дикопа»;
955d333d68804a0a97989b2f5a2f26ae;Владение АО «Лепсе»;
83be2c2a57184896b30d1df5bac55524;Владение АО «Сибур-Химпром»;
234a27a8ab8b42ce98ad2e6a90b2636f;Владение ООО «КЭС»;
37f9a81edd8943309b3ed5915bdcdba1;Владение АО «Самотлорнефтегаз»;
609f1203d85940e9a0e7386d2af8f9d0;Владение ЗАО «ТГ»;
1f990e33c0084ed39b025ac8814fec1f;Владение АО «Сыктывкарский ЛПК»;
38d81948fe84417c820521c788af0974;Владение АО «ГСР ТЭЦ»;
2fb0992b8f524dd8adbd4ccec319b5e4;Владение АО «РОЭК»;
8fb7c6da213549c09c1855296a5ab658;Владение ООО «ПК «Метил»;
87d973cfa01a485db43c9982afe0cac9;Владение Филиал АО «Сетевая компания» Буинские электрические сети;
9e0b5abc1c094a46a0ea3de98a106491;Владение ООО «ТУРСУНТ»;
863c1edd420145ed99ef90bfcee2e1ea;Владение ООО «Томские электрические сети»;
239dca59bb6c41008ffa2579f69dae99;Владение ООО «Генерация Сибири»;
90bc2c817cfd4487aebf988c729fb949;Владение АО «ОРЭС-Владимирская область»;
796c3141ab054caca1cb94f7e3e9880b;Владение ООО «РОСТЭКЭЛЕКТРОСЕТИ»;
f6b7d13946f4405a9b0a8628131201b8;Владение ПАО «Форвард Энерго»;
e88a62c9daf84c708fe692f0e1974e2b;Владение АО «ЭО ЗАЭС»;
9c4b6ad96a834f54b507a8a2e8eb9ffe;Владение АО «С-ДОК»;
8ecc0a39d2fc4ebe92173232bdfbf609;Владение ОАО «ДИНУР»;
bea8a345257a487c93c3ab5e510294f7;Владение АО «СМ-Финанс»;
9a854b226bc24d9ea75dbc40f2b4dcfe;Владение АО «НПК «СПП»;
dac4af8bea234c30b21a50e55cd46f72;Владение ООО «ТК ЛипецкАгро»;
a666d1542ea7419cb9049fb488ee2a9e;Владение ООО «Тверской кирпич»;
7834728e7cbf4a6bbd279c2384258887;Владение ФБУ «ФУ БХУХО»;
ab8d8b57ff1040b780ec104d41dea3c9;Владение ООО «Энергосервис «Чкаловец»;
58de1bb1081243b0968f11b0ba9f91ae;Владение ООО «ГЭК»;
452218ff574a4ba8b57fbb2f187d8d88;Владение ООО «Монолит-Строй»;
4fc1ddab0d034cc8a6c8baa23d259f7e;Владение АО «НЭСК»;
809144b1c8e542c492cf3fcffd3744b7;Владение АО «Метафракс Кемикалс»;
9522b249664f4597a5d9a62f1be62929;Владение ООО «БашРТС»;
972a4faa7c504ea18a460af8eb5dc269;Владение ООО «Аггреко Евразия»;
27c89ccf256947689a8296ad0b90ac4f;Владение Свердловская дирекция по энергообеспечению ОАО «РЖД»;
17aa0cb80bee4e3096dd95111a0c1ee1;Владение ООО «ВостСибДобыча» ;
b037f813285d4ec9b906d63d3660e75f;Владение ПАО «Акрон»;
4a8e6b5c761243669c37394ea269dddb;Владение АО «ОЭМК им. А.А. Угарова»;
d82e16d3e8384e4592f290193af117b5;Владение АО «ДЕЛЬТА»;
a7bb18cd676c4927b59bdf6a07adaca4;Владение АО «АвтоВАЗ»;
b717c79236ff4abc92d2560f99f8503b;Владение ООО «ПК «Чебоксарский агрегатный завод»;
911f73b52e1d463a9db6687515c5f054;Владение АО «Горэлектросеть»;
