about;name;sizeDescription;material;radius;diameterOverJacket;diameterOverCore;diameterOverInsulation;tapeThickness;sheathThickness;constructionKind;outerJacketKind;insulationEr;insulationErShield;shieldMaterial;shieldIsTransposed;shieldCrossSection;shieldGrounding;crossSection;underShieldScreenThickness;radialMoistureBarrierThicknes
4e52d337913943b1a8539ca0457bb3d4;ÀÏâÏó2ã-1õ800/240-64/110;ÀÏâÏó2ã 1õ800/240-64/110;WireMaterialKind.aluminum;0.017;0.069;;;0.0011;;;;;;;false;0.00024;;0.0008;0.001;
570bfd012da84b92aaa65d45f25353f5;2. ÏâÂíã(À)-LS-10;ÏâÂíã(À)-LS-10;WireMaterialKind.copper;0.014164999999999999;0.0518;;;0.002;;;;;;;false;7E-05;;0.00063;;4.49E-05
a62c96f7a9364151861f5eabbf919413;1. ÌÍÀãØÂó-1-x-625-ìì2;ÌÍÀãØÂó 1 x 625 ìì2;WireMaterialKind.copper;0.0162;0.064;;;;;;;;;;false;;;0.000625;;
5fa487c5eecc44cb8f9465257717bba5;ÏâÏó2ã1*630(ãæ)/210îâ-–-110êÂ;ÏâÏó2ã1*630(ãæ)/210îâ – 110êÂ;WireMaterialKind.copper;0.0149;0.089;;;0.0012;;;;2.5;2.5;;true;0.00021;;0.00063;0.0012;0.0002
7236ef3b1a854e98ac5afab6f22ef70a;1. ÏâÏó2ã;ÏâÏó2ã;WireMaterialKind.copper;;0.09;;;0.0008;;WireMaterialKind.copper;;;;WireMaterialKind.copper;false;0.00015;WireMaterialKind.copper;0.0008;;
0b03655b3e72424e9d70bcc1eb2419cc;2. ÀÏâÏó2ãæ-1x800/95;ÀÏâÏó2ãæ 1x800/95;WireMaterialKind.aluminum;0.017;0.089;;;0.0015;;;;;;WireMaterialKind.aluminum;false;9.5E-05;WireMaterialKind.aluminum;0.0008;;
a5114881e82143d1af07e0ba33ebe53d;ÏâÏïíã (À) 2ãæ-HF 3(1õ240/185(îâ)-64/110);ÏâÏïíã (À) 2ãæ-HF 3(1õ240/185(îâ)-64/110);WireMaterialKind.copper;0.02745;;;;;;;;;;;true;0.000185;;0.00024;;0.0002
60c8ccad1910417ab377ca50f4aa6f92;3*ÀÏâÏÓ-1*630/35-10;3*ÀÏâÏÓ-1*630/35-10;WireMaterialKind.aluminum;0.02465;0.05;;;0.0009;;WireMaterialKind.aluminum;;2.4;2.4;WireMaterialKind.aluminum;false;3.5E-05;WireMaterialKind.aluminum;0.00063;0.0002;0.0001
4ec59ab822bf4f63be19b753ff7cc285;1. ÀÏâÏó2ã-1õ1600ñãæ/280îâ-64/110;ÀÏâÏó2ã 1õ1600ñãæ/280îâ-64/110;WireMaterialKind.aluminum;0.0248;0.10490000000000001;;;0.0011;;WireMaterialKind.aluminum;;;;WireMaterialKind.aluminum;false;0.00028;WireMaterialKind.aluminum;0.0016;;0.00015
72e304ade96e49e0a6d6fa1def288f83;RHZ1-RA+2OL-245kV-1x1200MKCu-H265-FO;RHZ1-RA+2OL 245kV 1x1200MKCu H265 FO;WireMaterialKind.copper;0.021;0.116;;;0.0012;;WireMaterialKind.copper;;2.5;2.3;WireMaterialKind.copper;true;0.000265;WireMaterialKind.copper;0.0012;0.0012;0.0002
58a825078cf2491fa4f57067a21a8f6e;ÀÀØÂó-6-3õ185;ÀÀØÂó-6 3õ185;WireMaterialKind.aluminum;0.008400000000000001;0.048;;;0.0008;;;;3.6;3.6;;false;9.8E-05;WireMaterialKind.aluminum;0.000185;0;0.0008
ff4a2a4f455f41e9a423e54cd3bcc710;2XS(FL)-2Y-LWL-1x1600RMS/300-127/220kV-Demirer-kablo;2XS(FL)-2Y-LWL 1x1600RMS/300-127/220kV Demirer kablo;WireMaterialKind.copper;0.02425;0.12029999999999999;;;0.0012;;WireMaterialKind.copper;;2.5;2.3;WireMaterialKind.copper;true;0.0003;WireMaterialKind.copper;0.0016;0.0012;0.0002
